date,time,region,new_cases,rt_mean,rt_lower,rt_upper
2020-04-05,4,IL_Overall,898,2.448537998,1.319608608,6.007948499
2020-04-06,5,IL_Overall,996,1.691219985,0.7913864627,5.407788453
2020-04-07,6,IL_Overall,1299,1.30131308,0.7919522186,2.805013824
2020-04-08,7,IL_Overall,1525,1.304432368,0.9201023553,1.89816971
2020-04-09,8,IL_Overall,1340,1.727599423,1.139272189,2.470470375
2020-04-10,9,IL_Overall,1452,2.273947342,1.601888176,3.03309126
2020-04-11,10,IL_Overall,1289,2.76607949,1.876881009,4.007145292
2020-04-12,11,IL_Overall,1660,3.067805606,2.00982001,4.423858577
2020-04-13,12,IL_Overall,1204,2.866630554,1.996780068,4.216895932
2020-04-14,13,IL_Overall,1234,2.604561684,1.859342775,3.583753034
2020-04-15,14,IL_Overall,1355,2.232904495,1.690562134,3.016032005
2020-04-16,15,IL_Overall,1130,1.933730444,1.472661914,2.500256017
2020-04-17,16,IL_Overall,1823,1.668837133,1.323317109,2.161983904
2020-04-18,17,IL_Overall,1575,1.51311134,1.237982048,1.928832075
2020-04-19,18,IL_Overall,1166,1.326111615,1.166331817,1.675794332
2020-04-20,19,IL_Overall,1136,1.217597746,1.074010034,1.444203148
2020-04-21,20,IL_Overall,1489,1.121983482,1.011515807,1.30577629
2020-04-22,21,IL_Overall,2012,1.053344265,0.9622011141,1.15652429
2020-04-23,22,IL_Overall,1863,0.9887848268,0.8962362219,1.071905033
2020-04-24,23,IL_Overall,2698,0.9332527761,0.8152150631,1.023543217
2020-04-25,24,IL_Overall,2063,0.8377744822,0.737386656,0.9671288499
2020-04-26,25,IL_Overall,2092,0.7748011256,0.7169244191,0.9187678812
2020-04-27,26,IL_Overall,1950,0.8516303238,0.7496557471,0.9487105979
2020-04-28,27,IL_Overall,2222,0.8417774586,0.7614336282,0.9523325076
2020-04-29,28,IL_Overall,2234,0.8962180836,0.7977718673,0.9977387997
2020-04-30,29,IL_Overall,2539,0.9108084792,0.8251379606,0.9884836446
2020-05-01,30,IL_Overall,3152,0.9466949762,0.8574030185,1.022934496
2020-05-02,31,IL_Overall,2535,0.9939795073,0.9122401638,1.104611982
2020-05-03,32,IL_Overall,3015,1.044680594,0.8997336865,1.124134462
2020-05-04,33,IL_Overall,2321,0.973402727,0.8903243876,1.118400312
2020-05-05,34,IL_Overall,2090,0.986706336,0.8990073305,1.062570961
2020-05-06,35,IL_Overall,2406,0.950652295,0.8922648981,1.030657461
2020-05-07,36,IL_Overall,2641,0.9574808058,0.8743266382,1.028089148
2020-05-08,37,IL_Overall,2940,0.9841784284,0.8902440167,1.107298599
2020-05-09,38,IL_Overall,2295,1.036417169,0.9207124646,1.12409021
2020-05-10,39,IL_Overall,1643,1.042484344,0.9703318638,1.093687676
2020-05-11,40,IL_Overall,1279,1.023424691,0.906532859,1.079282645
2020-05-12,41,IL_Overall,4017,0.9488988237,0.8632382981,1.070816292
2020-05-13,42,IL_Overall,1692,0.8826680474,0.7840658975,0.9713424776
2020-05-14,43,IL_Overall,3220,0.7909530713,0.7115499727,0.8997834651
2020-05-15,44,IL_Overall,2447,0.7258824689,0.6400395867,0.8352235042
2020-05-16,45,IL_Overall,2092,0.645294998,0.559668137,0.7613786578
2020-05-17,46,IL_Overall,1715,0.6271055043,0.5495584264,0.7584050669
2020-05-18,47,IL_Overall,2284,0.6601562247,0.5404899053,0.7990990412
2020-05-19,48,IL_Overall,1549,0.7053324252,0.5864358454,0.8419885612
2020-05-20,49,IL_Overall,2383,0.736102796,0.6178868543,0.8662934767
2020-05-21,50,IL_Overall,2256,0.7748231029,0.6425451589,0.8960455931
2020-05-22,51,IL_Overall,2714,0.8225634961,0.6680365723,0.9311481751
2020-05-23,52,IL_Overall,2345,0.819193024,0.6776928412,0.9207398552
2020-05-24,53,IL_Overall,2479,0.8488900898,0.6928112925,0.9532692545
2020-05-25,54,IL_Overall,1693,0.7970996382,0.7080534205,0.9102034917
2020-05-26,55,IL_Overall,1155,0.758555561,0.6695772494,0.8694572568
2020-05-27,56,IL_Overall,1093,0.7369608327,0.6626300869,0.8512243507
2020-05-28,57,IL_Overall,1510,0.7025415467,0.6071986372,0.8071621729
2020-05-29,58,IL_Overall,1710,0.6731984933,0.5901395507,0.7952804913
2020-05-30,59,IL_Overall,1508,0.6803230885,0.5883503934,0.7758767184
2020-05-31,60,IL_Overall,1338,0.7063728415,0.5871860364,0.8608096508
2020-06-01,61,IL_Overall,966,0.7294792691,0.6200180774,0.8648779229
2020-06-02,62,IL_Overall,1563,0.7958197964,0.631669702,0.9190290012
2020-06-03,63,IL_Overall,1019,0.8473845692,0.6804670135,1.007363352
2020-06-04,64,IL_Overall,951,0.9194581158,0.7848171746,1.092175249
2020-06-05,65,IL_Overall,1153,0.970579871,0.8517054793,1.14756474
2020-06-06,66,IL_Overall,989,1.042524766,0.9121452079,1.163521938
2020-06-07,67,IL_Overall,859,1.062566706,0.9568726893,1.182599976
2020-06-08,68,IL_Overall,677,1.052850733,0.9630186929,1.209628796
2020-06-09,69,IL_Overall,784,1.11579665,0.9812905083,1.280056612
2020-06-10,70,IL_Overall,651,1.171612602,1.053585562,1.308001199
2020-06-11,71,IL_Overall,768,1.19972675,1.053819634,1.402825558
2020-06-12,72,IL_Overall,607,1.248406725,1.084890444,1.363913311
2020-06-13,73,IL_Overall,663,1.21526456,1.07052164,1.404551668
2020-06-14,74,IL_Overall,668,1.245318259,1.099946486,1.406363265
2020-06-15,75,IL_Overall,482,1.23600116,1.105084278,1.380783014
2020-06-16,76,IL_Overall,622,1.220591629,1.064755188,1.379457996
2020-06-17,77,IL_Overall,604,1.168302043,1.043905461,1.33649593
2020-06-18,78,IL_Overall,645,1.13191022,0.9962265362,1.249977655
2020-06-19,79,IL_Overall,689,1.050283485,0.935899586,1.208107326
2020-06-20,80,IL_Overall,632,0.9905406757,0.8967425664,1.133340153
2020-06-21,81,IL_Overall,654,0.9161278857,0.842026305,1.057236474
2020-06-22,82,IL_Overall,464,0.8926258125,0.8347727938,0.9733955675
2020-06-23,83,IL_Overall,607,0.8712124043,0.7933379791,0.9891380011
2020-06-24,84,IL_Overall,720,0.9070210491,0.8065275565,1.037019655
2020-06-25,85,IL_Overall,901,1.003918935,0.8575189559,1.125938515
2020-06-26,86,IL_Overall,866,1.087844556,0.9465412429,1.219472
2020-06-27,87,IL_Overall,787,1.197531051,1.008249992,1.288733059
2020-06-28,88,IL_Overall,646,1.269445938,1.143550869,1.361635031
2020-06-29,89,IL_Overall,723,1.323022348,1.180110176,1.446182988
2020-06-30,90,IL_Overall,719,1.317544446,1.161641398,1.520402895
2020-07-01,91,IL_Overall,826,1.324773662,1.132345368,1.478497737
2020-07-02,92,IL_Overall,874,1.251643423,1.099082064,1.427810387
2020-07-03,93,IL_Overall,868,1.162838767,1.034634171,1.426897583
2020-07-04,94,IL_Overall,861,1.122718004,0.9761912641,1.278359482
2020-07-05,95,IL_Overall,632,1.066673833,0.9617604979,1.181892416
2020-07-06,96,IL_Overall,612,1.076158991,0.9786306546,1.156528759
2020-07-07,97,IL_Overall,588,1.08369737,0.9735999662,1.155021564
2020-07-08,98,IL_Overall,986,1.089583794,1.015378285,1.166384266
